CaseProperties,CaseSet,CaseID,CaseType,CaseTypeIRI,EventID,EventDescription,EventIRI,Event,PropertyName,EventDate,PropertyValueAlpha,PropertyValueNumeric,SourceServer,SourceServerDescription,SourceTableName,SourceColumn,SourceColumnIsKey,SourceColumnDescription
"{""LocationID"":1,""EmployeeID"":1}",1,2,"Restaurant meal service process: Captures the full customer journey in a typical sit-down restaurant, including ordering, seating, food preparation, service interactions, payments, complaints, and tipping events.",,18,Player checks,,check,coupon,45:00.0,GrandOpening,,,,,,,
"{""LocationID"":1,""EmployeeID"":1}",1,14,"Daily commute to work: Tracks individual or aggregated commuting patterns, routes, times, modes of transportation, and related events from home to workplace and return.",,97,User arrives at work,,arrivework,Fuel,22:00.0,,30,,"Consolidated Event Hub aggregating real-world operational events across multiple business domains (restaurant table service, delivery/pickup routes, daily commuting patterns, and e-commerce transactions). Captures customer interactions, employee actions, location data, payments, complaints, and process flags in a unified event stream for cross-domain analytics and process optimization.",,Fuel,0,"Fuel consumed during the truck route, measured in gallons."
"{""LocationID"":1,""EmployeeID"":1}",1,25,"Daily commute to work: Tracks individual or aggregated commuting patterns, routes, times, modes of transportation, and related events from home to workplace and return.",,130,User arrives at work,,arrivework,Fuel,05:00.0,,30,,"Consolidated Event Hub aggregating real-world operational events across multiple business domains (restaurant table service, delivery/pickup routes, daily commuting patterns, and e-commerce transactions). Captures customer interactions, employee actions, location data, payments, complaints, and process flags in a unified event stream for cross-domain analytics and process optimization.",,Fuel,0,"Fuel consumed during the truck route, measured in gallons."
"{""LocationID"":1,""EmployeeID"":1}",1,25,"Daily commute to work: Tracks individual or aggregated commuting patterns, routes, times, modes of transportation, and related events from home to workplace and return.",,129,Moderate traffic conditions,,moderatetraffic,Fuel,30:00.0,,34,,"Consolidated Event Hub aggregating real-world operational events across multiple business domains (restaurant table service, delivery/pickup routes, daily commuting patterns, and e-commerce transactions). Captures customer interactions, employee actions, location data, payments, complaints, and process flags in a unified event stream for cross-domain analytics and process optimization.",,Fuel,0,"Fuel consumed during the truck route, measured in gallons."
"{""LocationID"":1,""EmployeeID"":1}",1,25,"Daily commute to work: Tracks individual or aggregated commuting patterns, routes, times, modes of transportation, and related events from home to workplace and return.",,128,User leaves home,,leavehome,Fuel,20:00.0,,35,,"Consolidated Event Hub aggregating real-world operational events across multiple business domains (restaurant table service, delivery/pickup routes, daily commuting patterns, and e-commerce transactions). Captures customer interactions, employee actions, location data, payments, complaints, and process flags in a unified event stream for cross-domain analytics and process optimization.",,Fuel,0,"Fuel consumed during the truck route, measured in gallons."
"{""LocationID"":1,""EmployeeID"":1}",1,16,"Daily commute to work: Tracks individual or aggregated commuting patterns, routes, times, modes of transportation, and related events from home to workplace and return.",,103,User arrives at work,,arrivework,Fuel,16:00.0,,36,,"Consolidated Event Hub aggregating real-world operational events across multiple business domains (restaurant table service, delivery/pickup routes, daily commuting patterns, and e-commerce transactions). Captures customer interactions, employee actions, location data, payments, complaints, and process flags in a unified event stream for cross-domain analytics and process optimization.",,Fuel,0,"Fuel consumed during the truck route, measured in gallons."
"{""LocationID"":1,""EmployeeID"":1}",1,14,"Daily commute to work: Tracks individual or aggregated commuting patterns, routes, times, modes of transportation, and related events from home to workplace and return.",,96,Heavy traffic conditions,,heavytraffic,Fuel,30:00.0,,41,,"Consolidated Event Hub aggregating real-world operational events across multiple business domains (restaurant table service, delivery/pickup routes, daily commuting patterns, and e-commerce transactions). Captures customer interactions, employee actions, location data, payments, complaints, and process flags in a unified event stream for cross-domain analytics and process optimization.",,Fuel,0,"Fuel consumed during the truck route, measured in gallons."
"{""LocationID"":1,""EmployeeID"":1}",1,14,"Daily commute to work: Tracks individual or aggregated commuting patterns, routes, times, modes of transportation, and related events from home to workplace and return.",,95,User leaves home,,leavehome,Fuel,20:00.0,,42,,"Consolidated Event Hub aggregating real-world operational events across multiple business domains (restaurant table service, delivery/pickup routes, daily commuting patterns, and e-commerce transactions). Captures customer interactions, employee actions, location data, payments, complaints, and process flags in a unified event stream for cross-domain analytics and process optimization.",,Fuel,0,"Fuel consumed during the truck route, measured in gallons."
"{""LocationID"":1,""EmployeeID"":1}",1,11,"Daily commute to work: Tracks individual or aggregated commuting patterns, routes, times, modes of transportation, and related events from home to workplace and return.",,88,User arrives at work,,arrivework,Fuel,15:00.0,,43,,"Consolidated Event Hub aggregating real-world operational events across multiple business domains (restaurant table service, delivery/pickup routes, daily commuting patterns, and e-commerce transactions). Captures customer interactions, employee actions, location data, payments, complaints, and process flags in a unified event stream for cross-domain analytics and process optimization.",,Fuel,0,"Fuel consumed during the truck route, measured in gallons."
"{""LocationID"":1,""EmployeeID"":1}",1,12,"Daily commute to work: Tracks individual or aggregated commuting patterns, routes, times, modes of transportation, and related events from home to workplace and return.",,91,User arrives at work,,arrivework,Fuel,20:00.0,,46,,"Consolidated Event Hub aggregating real-world operational events across multiple business domains (restaurant table service, delivery/pickup routes, daily commuting patterns, and e-commerce transactions). Captures customer interactions, employee actions, location data, payments, complaints, and process flags in a unified event stream for cross-domain analytics and process optimization.",,Fuel,0,"Fuel consumed during the truck route, measured in gallons."
