object_name,category,item_name,item_type,item_description,default_value
[ETL].[StockMove],Input,@Big_Jump_Threshold,FLOAT,"Fractional threshold (e.g., 0.10 for 10%) to consider a jump or drop big.",
[ETL].[StockMove],Input,@Value0,FLOAT,Current stock value.,
[ETL].[StockMove],Input,@Value1,FLOAT,Prior stock value.,
[ETL].[StockMove],Output,Return Value,NVARCHAR(20),"Classification string: 'Big Jump+X%', 'Big Drop-X%', or 'No Move'.",
[dbo].[AddEventToCaseProperties],Input,@Event,NVARCHAR(20),Name of the event to find in EventsFact (required).,
[dbo].[AddEventToCaseProperties],Input,@Metric,NVARCHAR(20),Metric property to pull from EventPropertiesParsed; uses default value if missing.,
[dbo].[AddEventToCaseProperties],Input,@PropertyName,NVARCHAR(20),Name of the case property column to upsert (defaults to @Event).,
[dbo].[AddEventToCaseProperties],Output,CasePropertiesParsed,Table,"Inserted or updated rows for each affected CaseID with PropertyValueNumeric, AddedProperty flag, and LastUpdate timestamp.",
[dbo].[AddEventToCaseProperties],Output,ProcErrorLog,Table,"On error, a log row containing procedure name, parameters, and error details.",
[dbo].[AddEventToCaseProperties],Reference,dbo.CasePropertiesParsed,Table,Target table for case‐level properties to merge into.,
[dbo].[AddEventToCaseProperties],Reference,dbo.EventPropertiesParsed,Table,Holds parsed event properties and metrics for lookup.,
[dbo].[AddEventToCaseProperties],Reference,dbo.EventsFact,Table,Source of CaseID–Event mappings.,
[dbo].[AddEventToCaseProperties],Reference,dbo.ProcErrorLog,Table,Error logging table used in CATCH block.,
[dbo].[AddSegmentProbabilities],Input,@add_segments_json,NVARCHAR(MAX),"JSON array of objects each with ModelID, EventA, and EventB to include in the aggregation.",NULL
[dbo].[AddSegmentProbabilities],Output,Return Value,FLOAT,Computed overall probability across the provided segments; NULL or error if any segment’s probability is zero.,
[dbo].[AddSegmentProbabilities],Reference,OPENJSON,Built-in Function,Parses the input JSON array into rows for joining against ModelEvents.,
[dbo].[AddSegmentProbabilities],Reference,dbo.ModelEvents,Table,Holds per-segment rows and probability (Prob) for each EventA→EventB.,
[dbo].[AdjacencyMatrix],Input,@EventSet,NVARCHAR(MAX),Comma-separated list or code defining the set of events to include.,—
[dbo].[AdjacencyMatrix],Input,@enumerate_multiple_events,INT,1 to treat repeated events separately; 0 to collapse duplicates.,—
[dbo].[AdjacencyMatrix],Input,@transforms,NVARCHAR(MAX),Optional event-mapping JSON or code for normalizing event names.,NULL
[dbo].[AdjacencyMatrix],Output,Event1A_Rows,FLOAT,Total number of occurrences of EventA.,
[dbo].[AdjacencyMatrix],Output,EventA,NVARCHAR(??),The source event of the transition.,
[dbo].[AdjacencyMatrix],Output,EventB,NVARCHAR(??),The target event of the transition.,
[dbo].[AdjacencyMatrix],Output,count,FLOAT,Raw count of EventA→EventB transitions.,
[dbo].[AdjacencyMatrix],Output,probability,FLOAT,P(B|A) = count(A→B)/total count of A.,
[dbo].[AdjacencyMatrix],Reference,dbo.MarkovProcess,Table-Valued Function,"Provides raw transition rows (Rows) for given order, event set, filters, and transforms.",
[dbo].[BayesianProbability2],Input,@CaseFilterProperties,NVARCHAR(MAX),Optional case-level filter properties passed through to dbo.sp_SelectedEvents.,NULL
[dbo].[BayesianProbability2],Input,@EndDateTime,DATETIME,"Upper datetime bound for selected events. If NULL, defaults to 2050-12-31.",'2050-12-31'
[dbo].[BayesianProbability2],Input,@EventFilterProperties,NVARCHAR(MAX),Optional event-level filter properties passed through to dbo.sp_SelectedEvents.,NULL
